lat	lon	ele
42.796185	0.570323	740
42.796185	0.570232	740
42.796185	0.570142	740
42.7962	0.570053	741
42.796215	0.569967	741
42.796242	0.569875	741
42.796265	0.569783	741
42.796288	0.569687	741
42.796314	0.569588	741
42.796337	0.569485	741
42.796379	0.569372	742
42.79641	0.569262	742
42.796436	0.56915	742
42.796459	0.569038	742
42.796493	0.568925	742
42.796516	0.568812	742
42.796543	0.5687	742
42.796566	0.568587	742
42.796596	0.568478	742
42.796631	0.568368	742
42.79668	0.568263	742
42.796719	0.568162	743
42.796768	0.568058	743
42.796818	0.567968	743
42.796867	0.567878	743
42.796917	0.567795	744
42.796974	0.567708	744
42.797031	0.567618	744
42.797077	0.567537	744
42.797142	0.567492	744
42.797176	0.567403	745
42.797218	0.567313	745
42.797249	0.567217	745
42.797283	0.567128	745
42.797314	0.567038	746
42.797356	0.566952	746
42.797398	0.566868	746
42.797436	0.566788	747
42.797485	0.566702	747
42.797543	0.56662	747
42.797615	0.566552	747
42.79768	0.566497	748
42.797752	0.566452	748
42.797829	0.566413	749
42.797924	0.566417	749
42.797989	0.566418	750
42.798073	0.566413	750
42.798145	0.566415	750
42.798233	0.566408	750
42.798317	0.56639	750
42.798412	0.566368	750
42.798496	0.566343	750
42.798592	0.56631	750
42.798691	0.566277	750
42.798786	0.566247	750
42.798885	0.566217	750
42.798992	0.566168	750
42.799107	0.566127	750
42.799217	0.566058	750
42.799324	0.56597	750
42.799423	0.565887	750
42.799538	0.565793	750
42.79966	0.565698	749
42.799782	0.565593	749
42.799904	0.565495	749
42.800026	0.565398	749
42.800136	0.565313	749
42.800251	0.565217	749
42.800373	0.565133	749
42.800495	0.565048	749
42.800625	0.564968	748
42.800747	0.564885	748
42.800861	0.564812	748
42.801002	0.564752	747
42.801113	0.564682	747
42.801247	0.56461	747
42.801369	0.564533	747
42.801498	0.564458	746
42.80162	0.564383	746
42.801743	0.564328	747
42.801872	0.564258	747
42.801968	0.564183	748
42.802059	0.564108	749
42.802139	0.564027	749
42.802212	0.563948	750
42.802288	0.563872	750
42.802368	0.563798	751
42.802441	0.563723	752
42.802513	0.563647	753
42.802589	0.563575	754
42.802669	0.563505	754
42.80275	0.563433	755
42.802807	0.563358	756
42.802841	0.563287	756
42.802799	0.563202	757
42.802792	0.563102	757
42.802776	0.562992	757
42.802814	0.562897	758
42.802849	0.562802	758
42.802879	0.56271	758
42.802906	0.562607	759
42.802944	0.562537	759
42.802994	0.56248	759
42.803043	0.562418	759
42.803093	0.562353	760
42.803142	0.562282	760
42.803188	0.562202	761
42.80323	0.562128	761
42.80328	0.562062	762
42.803345	0.562012	762
42.803417	0.56197	763
42.803482	0.561933	763
42.803554	0.561915	764
42.803631	0.561903	764
42.803696	0.56188	764
42.803753	0.561863	765
42.80381	0.561855	765
42.803848	0.561848	766
42.803905	0.561842	767
42.803963	0.561833	767
42.80402	0.561822	768
42.804069	0.561823	768
42.804111	0.56181	768
42.804165	0.56179	768
42.804207	0.561753	769
42.804264	0.561735	769
42.804321	0.561707	770
42.804363	0.561675	771
42.80442	0.56165	771
42.804478	0.56163	772
42.804543	0.561612	773
42.804581	0.561573	773
42.804615	0.561555	774
42.804653	0.561527	774
42.804695	0.561497	775
42.804729	0.561467	775
42.804752	0.56144	776
42.804794	0.561417	776
42.804825	0.561398	776
42.804867	0.561375	777
42.804909	0.561348	777
42.804947	0.561322	777
42.805012	0.561303	778
42.805054	0.561275	779
42.805088	0.561247	779
42.805134	0.561215	780
42.805183	0.56118	780
42.805225	0.561135	781
42.805275	0.561108	781
42.805313	0.56108	782
42.805355	0.56105	782
42.805386	0.56103	783
42.805427	0.561017	783
42.805477	0.561007	784
42.805527	0.560995	784
42.805565	0.56098	785
42.805607	0.560967	785
42.805649	0.56096	786
42.805698	0.560952	786
42.805737	0.560952	786
42.805778	0.56095	786
42.80582	0.560947	787
42.805859	0.560933	787
42.805901	0.560943	788
42.805942	0.560942	788
42.805973	0.560922	789
42.806015	0.560895	789
42.806053	0.560857	790
42.806095	0.560803	790
42.806129	0.560737	791
42.806152	0.560667	791
42.806175	0.560593	792
42.806187	0.560517	792
42.806168	0.560437	792
42.806145	0.560358	793
42.806103	0.56029	793
42.806065	0.560238	793
42.806015	0.560203	794
42.805973	0.560195	794
42.805923	0.560188	794
42.805859	0.560177	794
42.805794	0.56016	794
42.805721	0.560123	795
42.805649	0.560102	795
42.805592	0.560083	795
42.805527	0.560073	795
42.805462	0.560068	795
42.805405	0.560072	796
42.80534	0.560067	796
42.805275	0.560062	797
42.805218	0.560035	797
42.805161	0.560033	798
42.805096	0.560035	798
42.805038	0.560042	799
42.804981	0.560057	799
42.804924	0.560087	800
42.804867	0.560127	800
42.804825	0.560148	801
42.804775	0.560178	801
42.804729	0.56021	802
42.804665	0.560225	802
42.804607	0.560198	803
42.804565	0.560138	803
42.804558	0.560055	803
42.8046	0.559988	804
42.804638	0.559927	804
42.804703	0.559893	804
42.804768	0.559877	804
42.804844	0.559865	804
42.804916	0.559855	804
42.804981	0.559838	804
42.805046	0.559823	805
42.805103	0.55981	805
42.805168	0.559778	806
42.805233	0.559757	806
42.80529	0.559732	807
42.805347	0.559715	807
42.805405	0.559698	808
42.805454	0.559687	808
42.8055	0.55968	809
42.80555	0.559672	810
42.805599	0.559673	810
42.805649	0.559672	811
42.805706	0.559665	811
42.805737	0.559633	812
42.805786	0.559618	812
42.805843	0.559618	813
42.805908	0.55963	813
42.805965	0.55964	813
42.806007	0.559653	813
42.806053	0.559668	814
42.80611	0.559688	814
42.80616	0.559712	815
42.80621	0.559743	815
42.806259	0.559772	816
42.806316	0.5598	816
42.806362	0.559822	817
42.806412	0.559833	817
42.806469	0.559823	818
42.806519	0.559788	818
42.80656	0.559728	819
42.80656	0.559653	819
42.806553	0.559585	820
42.806519	0.559528	820
42.806461	0.559488	821
42.806396	0.559457	821
42.806339	0.559438	821
42.806282	0.559418	822
42.806225	0.559403	822
42.806175	0.559385	822
42.806118	0.559362	822
42.806072	0.559333	822
42.806023	0.559307	823
42.805973	0.55928	823
42.805923	0.559252	824
42.805874	0.55922	824
42.805828	0.559177	825
42.805778	0.559117	826
