lat	lon	ele
43.109505	0.03759	384
43.109562	0.037725	384
43.109627	0.037858	383
43.109684	0.037993	383
43.109741	0.03813	383
43.109806	0.038268	383
43.109863	0.038412	383
43.109913	0.038543	383
43.10997	0.038675	383
43.11002	0.038802	383
43.110073	0.038922	383
43.110123	0.039047	383
43.11018	0.03917	383
43.110229	0.03929	383
43.110279	0.039415	383
43.110336	0.039537	383
43.110393	0.039658	382
43.110439	0.039785	382
43.110496	0.039915	382
43.110554	0.04004	382
43.110611	0.04016	382
43.110661	0.040277	382
43.110718	0.040397	382
43.110775	0.040518	382
43.110825	0.040643	382
43.110882	0.040767	382
43.110928	0.040893	382
43.110985	0.041023	382
43.111034	0.041155	382
43.111092	0.041287	382
43.111149	0.041418	382
43.111198	0.041542	382
43.111256	0.041665	382
43.111305	0.041797	381
43.111362	0.041928	381
43.111408	0.042063	381
43.111465	0.042195	381
43.111523	0.04233	381
43.11158	0.042462	380
43.111629	0.042587	380
43.111687	0.042702	380
43.111736	0.042823	380
43.111794	0.04294	380
43.111851	0.043055	380
43.111897	0.043168	380
43.111954	0.043287	380
43.112003	0.0434	379
43.112053	0.043512	379
43.112102	0.043622	379
43.112148	0.043728	379
43.112198	0.04383	379
43.11224	0.04393	379
43.112289	0.04403	379
43.112339	0.044133	379
43.112385	0.044228	379
43.112434	0.044343	379
43.112484	0.044453	379
43.112526	0.04457	379
43.112564	0.04468	379
43.112614	0.044797	379
43.112671	0.044917	379
43.112713	0.045032	379
43.11277	0.04514	379
43.112816	0.04526	379
43.112873	0.045393	379
43.11293	0.045525	379
43.112988	0.045653	379
43.113045	0.045787	379
43.11311	0.045923	379
43.113174	0.046062	379
43.113232	0.046207	379
43.113296	0.046355	379
43.113361	0.046497	379
43.113426	0.046637	379
43.113483	0.046775	378
43.113541	0.046907	378
43.113598	0.047038	378
43.113663	0.047177	378
43.11372	0.047318	378
43.113769	0.047465	378
43.113819	0.047618	378
43.113842	0.047777	378
43.11385	0.04793	378
43.113857	0.048083	378
43.113876	0.048227	379
43.113899	0.048377	379
43.113933	0.048515	379
43.113964	0.048648	380
43.113998	0.048783	380
43.114029	0.048908	381
43.114063	0.049037	381
43.114086	0.049168	382
43.114101	0.049303	382
43.114113	0.049437	383
43.114101	0.049563	383
43.114101	0.049695	383
43.114086	0.049833	383
43.114063	0.049958	384
43.114021	0.050078	384
43.113972	0.05018	385
43.113914	0.050277	385
43.113857	0.050378	386
43.113804	0.050462	386
43.113754	0.050538	387
43.113697	0.050613	388
43.113655	0.050692	388
43.113625	0.050787	389
43.113598	0.050862	389
43.113583	0.050945	389
43.113567	0.051035	390
43.113583	0.051118	390
43.11359	0.05121	391
43.11359	0.05128	392
43.11359	0.05135	393
43.113598	0.051435	393
43.113598	0.051522	394
43.113598	0.051612	394
43.113598	0.051705	395
43.11359	0.051798	395
43.11356	0.051882	395
43.113525	0.05195	396
43.113483	0.052013	396
43.113445	0.052075	397
43.113396	0.052123	397
43.113331	0.052152	397
43.113281	0.052187	398
43.113239	0.052215	398
43.113193	0.05225	399
43.113152	0.052285	399
43.11311	0.05233	400
43.11306	0.052382	400
43.113022	0.052433	401
43.11298	0.052483	401
43.112938	0.052538	401
43.1129	0.052597	401
43.112858	0.05265	402
43.112827	0.0527	402
43.112793	0.05276	403
43.112759	0.052825	403
43.112728	0.052887	404
43.112694	0.052952	404
43.112656	0.053025	404
43.112629	0.053102	405
43.112598	0.053175	405
43.112564	0.053257	406
43.112541	0.053335	406
43.112526	0.053413	407
43.112499	0.053493	407
43.112476	0.053575	408
43.11245	0.053662	408
43.112442	0.053743	408
43.112427	0.053822	409
43.112411	0.0539	409
43.112404	0.053977	410
43.112385	0.05405	410
43.112377	0.054138	411
43.11237	0.054218	411
43.112354	0.054292	412
43.112339	0.054365	413
43.11232	0.054433	413
43.112305	0.054508	414
43.112297	0.054582	414
43.112282	0.05465	414
43.11227	0.054722	414
43.112263	0.054792	415
43.112255	0.054847	415
43.112255	0.054928	416
43.112255	0.055015	416
43.112263	0.055098	417
43.112263	0.055182	417
43.11227	0.055253	418
43.11227	0.05532	418
43.112289	0.055395	419
43.112305	0.055473	419
43.11232	0.055547	420
43.112339	0.05562	420
43.112354	0.055693	420
43.112377	0.055768	420
43.112419	0.055838	421
43.11245	0.055888	421
43.112484	0.05594	422
43.112526	0.055993	422
43.112564	0.056037	423
43.112614	0.056082	423
43.112656	0.056125	424
43.112713	0.056163	424
43.112759	0.056202	425
43.112808	0.056243	425
43.112865	0.056287	426
43.112915	0.05633	426
43.112965	0.05638	426
43.113014	0.056428	426
43.11306	0.05648	427
43.113102	0.056525	427
43.113136	0.056577	428
43.113174	0.05662	428
