lat	lon	ele
43.282635	-0.246465	250
43.282593	-0.246293	250
43.282551	-0.246122	250
43.282505	-0.245955	250
43.282455	-0.245792	250
43.282413	-0.245625	250
43.282364	-0.245455	251
43.282326	-0.245285	251
43.282284	-0.245113	251
43.282234	-0.244942	251
43.282192	-0.24477	251
43.282146	-0.2446	251
43.282104	-0.244427	251
43.282055	-0.244253	251
43.282005	-0.244082	251
43.281959	-0.24391	251
43.28191	-0.243743	251
43.28186	-0.243577	251
43.281818	-0.243417	251
43.281788	-0.243255	252
43.281738	-0.243088	252
43.281696	-0.242922	252
43.281651	-0.242757	252
43.281601	-0.24259	252
43.281551	-0.242422	252
43.281509	-0.242255	252
43.28146	-0.242092	252
43.281422	-0.24193	252
43.28138	-0.241768	252
43.28133	-0.241603	252
43.281292	-0.241442	252
43.281242	-0.241282	253
43.2812	-0.241125	253
43.281151	-0.24097	253
43.281113	-0.240818	253
43.281063	-0.240672	253
43.281021	-0.240532	253
43.280983	-0.2404	253
43.280941	-0.240277	253
43.280891	-0.240155	253
43.280849	-0.240045	254
43.280811	-0.239942	254
43.280777	-0.239845	254
43.280762	-0.239747	254
43.280754	-0.239648	254
43.280746	-0.239548	255
43.280739	-0.239455	255
43.280704	-0.239367	255
43.280674	-0.239283	255
43.280632	-0.239202	255
43.280582	-0.23911	255
43.280552	-0.238998	255
43.280525	-0.238877	255
43.280502	-0.238747	255
43.280476	-0.238613	255
43.280453	-0.238475	255
43.28043	-0.238333	255
43.280395	-0.238188	255
43.280353	-0.238033	255
43.280315	-0.237878	255
43.280273	-0.237722	255
43.280231	-0.237562	256
43.280193	-0.237405	256
43.280151	-0.237247	256
43.280102	-0.237087	256
43.280052	-0.236927	256
43.280014	-0.236768	256
43.279972	-0.236612	256
43.279922	-0.236453	256
43.279873	-0.236292	256
43.279835	-0.236123	256
43.279785	-0.235952	256
43.279735	-0.235783	256
43.279697	-0.235615	256
43.279648	-0.235447	256
43.279598	-0.23528	256
43.279556	-0.235112	256
43.279507	-0.234943	256
43.279469	-0.234775	256
43.279419	-0.234607	256
43.279377	-0.234437	256
43.279331	-0.234263	256
43.279282	-0.234092	256
43.279232	-0.233918	256
43.279182	-0.233747	256
43.279133	-0.233575	256
43.279087	-0.233405	256
43.279037	-0.233238	256
43.278988	-0.233075	256
43.278946	-0.232915	256
43.278896	-0.232753	256
43.278851	-0.23259	256
43.278809	-0.232428	256
43.278759	-0.232265	256
43.278702	-0.232098	256
43.278664	-0.231937	256
43.278614	-0.231773	256
43.278572	-0.231608	257
43.278522	-0.231442	257
43.278484	-0.231272	257
43.278442	-0.231102	257
43.278393	-0.23093	257
43.278355	-0.230758	257
43.278305	-0.230587	257
43.278263	-0.230413	257
43.278213	-0.230237	257
43.278164	-0.230062	258
43.278118	-0.229883	258
43.278061	-0.229702	258
43.278011	-0.229518	258
43.277962	-0.229342	258
43.277912	-0.229165	258
43.277855	-0.228988	258
43.277798	-0.228813	258
43.277744	-0.228638	258
43.277687	-0.22846	257
43.277637	-0.228282	257
43.27758	-0.228107	257
43.277531	-0.22793	257
43.277481	-0.227755	257
43.277431	-0.227578	258
43.277386	-0.227402	258
43.277344	-0.227225	258
43.277294	-0.227045	258
43.277256	-0.226862	258
43.277206	-0.22668	258
43.277157	-0.226502	258
43.277107	-0.226323	258
43.277065	-0.226142	258
43.277019	-0.225962	258
43.27697	-0.225782	258
43.27692	-0.2256	258
43.276871	-0.225418	258
43.276821	-0.225237	258
43.276768	-0.225053	258
43.276718	-0.224872	259
43.276668	-0.224692	259
43.276611	-0.224515	259
43.276554	-0.224342	259
43.276497	-0.22417	259
43.276447	-0.223997	259
43.276402	-0.223823	259
43.276352	-0.223655	259
43.276302	-0.223485	259
43.276253	-0.223318	259
43.276195	-0.223155	259
43.276157	-0.222992	259
43.276108	-0.222828	259
43.276058	-0.22267	259
43.276016	-0.222513	259
43.275967	-0.222352	259
43.275928	-0.22219	259
43.275887	-0.222033	259
43.275856	-0.221872	259
43.275822	-0.22171	259
