iso_code	country	ghg	co2	methane	nitrous_oxide	population	gdp	energy_consumption	electricity_generation	renewable_energy	hydropower	wind	biomass	solar	geothermal	
MHL	Marshall_Islands	0.1	0.1408	0.03	0	57199	-9999	-9999	-9999	2.2	0	0	0	2.2	0	
MRT	Mauritania	10.654	2.4666	6.608	3.09	3932956.4	11842431800	10.8056	-9999	343.8	182.9	104.3	0	56.6	0	
MUS	Mauritius	6.254	4.1586	1.828	0.24	1257525	23768849619	23.0302	3042	663.5	99.5	18	515.7	30.3	0	
MEX	Mexico	672.386	486.4664	134.088	41.32	120329616.2	1854134834037	2145.2668	320353	48937	30698	10378	1461	252	6148	
MDA	Moldova	11.268	4.822	3.368	1.052	4072102.8	20073283303	41.1782	5827	308.7	290	2.5	14.2	1.9	0	
MNG	Mongolia	64.386	31.3492	14.802	11.528	2940276.6	34915204600	56.777	5667	223.1	61	153.6	0	8.5	0	
MNE	Montenegro	3.66	2.145	0.846	0.188	626630.2	10287980548	13.0452	3141	1847	1843	0	0	4.1	0	
MAR	Morocco	85.736	57.5478	16.57	8.788	34187968.6	263632299055	215.3204	32141	4757	1662	3015	12.6	473.4	0	
MOZ	Mozambique	74.102	5.783	18.734	12.362	26316309.6	24635779916	80.5412	18732	15683	15611	0	16.8	0	0	
MMR	Myanmar	215.692	17.7094	78.594	24.55	52254581.2	247370783118	-9999	17867	9437	9400	0	0	36.5	0	
NAM	Namibia	21.928	3.5006	5.698	4.104	2274930.8	21403278497	18.9802	1421	1411	1359	0.1	0.2	51.6	0	
NRU	Nauru	0.062	0.0498	0	0	10296.2	-9999	0.2714	-9999	0.2	0	0	0	0.2	0	
NPL	Nepal	51.298	7.1712	31.484	8.324	27018080	67281054600	30.8936	4244	2777.7	2734.5	0.1	0	43	0	
NLD	Netherlands	184.35	163.2346	18.86	8.198	16889531.2	750753679745	1002.207	115170	13943	100	8170	4113	1560	0	
NZL	New_Zealand	64.124	35.47	33.242	14.828	4565659	149903977866	241.2922	43033	36118	25730	2303	608	52	7425	
NIC	Nicaragua	18.882	4.9462	9.886	3.468	6142986	27505387800	26.1828	4590	2445	426.7	729	533.2	26.8	729	
NER	Niger	39.072	1.9638	25.02	10.202	19266026	16443929057	9.3946	526	13.1	0	0	0	13.1	0	
NGA	Nigeria	459.462	119.1086	122.916	34.71	176499450.2	994409599398	412.9348	30897	5750	5721	3	0	25.8	0	
PRK	North_Korea	67.608	29.8314	18.554	2.526	25055885.6	43976249143	122.8992	16926	12815	12800	1.1	0	13.9	0	
MKD	North_Macedonia	11.03	7.5954	2.434	0.56	2077640.2	25089634020	29.6374	5629	2066	1897	109	36	24	0	
